,name,height,sample
1,"Carmona, Samuel",165.9646713,1
2,"Forrester, Javonn",173.3871462,1
3,"el-Ozer, Aabdeen",177.4222059,1
4,"Jackson, Aliaha",160.2715115,1
5,"al-Jafri, Abdul Baari",174.1456234,1
6,"Whyte, Trent",174.5302795,1
7,"Brown, Cailee",169.1263002,1
8,"Nguyen, Sanate",169.2668407,1
9,"Cress, Janay",169.17774,1
10,"Owens, Roman",167.5498109,1
11,"Hasadinratana, Jaideep",169.6140365,1
12,"Charleston, Destiny",167.0080678,1
13,"Tillotson, Robert",168.1187305,1
14,"Simpson, Babalu",172.3222941,1
15,"Kabotie, Sierra",176.7974703,1
16,"Robinson III, Gregory",171.4485725,1
17,"Kaiser, Tyshon",169.4449525,1
18,"el-Kaleel, Ramza",167.4440229,1
19,"el-Rashid, Rasheeqa",167.8141416,1
20,"Vanconett, Jack",184.0791759,1
21,"Yanez Tarin, Chantel",172.6704411,1
22,"Perry, Boris",169.5465705,1
23,"Thompson, Yeon",169.7972606,1
24,"Dai, Rose",174.2979472,1
25,"Gonzalez, Alan",168.5313988,1
26,"Smits-Kagoshima, Paige",164.7589754,1
27,"Hay, Alexander",174.8737786,1
28,"Hernandez, Evelin",166.8817214,1
29,"Moline, Richard",171.9243085,1
30,"Powless, Emily",167.320257,1
31,"Matlock, Kirsten",177.5114877,1
32,"al-Huq, Saleema",169.6220346,1
33,"Hyden-Terry, Billy",168.4527998,1
34,"Villanueva, Bianca",169.4937097,1
35,"Mutch, Kanae",163.8545327,1
36,"Montalvo Preciado, Desirae",166.1619037,1
37,"Nguyen, Dakota",161.0998018,1
38,"Montoya, Michelle",165.295034,1
39,"Watson, Denzel",170.5285307,1
40,"Delgado-Sanchez, Steven",169.6705123,1
41,"el-Mona, Shahla",179.2474813,1
42,"Sanchez, Thomas",166.6567864,1
43,"Timpson, Chelsie",167.7231768,1
44,"Barber, Chantelle",170.596885,1
45,"Montour, Ryan",167.0282996,1
46,"Moreno, Bernard",167.1574284,1
47,"Lam, Jonah",166.463409,1
48,"Bass, Tabatha",165.7400706,1
49,"Scott, Brooke",169.3808594,1
50,"Thomas, Tenisha",169.5157502,1
51,"Nichols, Brent",162.9698437,2
52,"el-Rahimi, Mahfoodha",169.0896204,2
53,"Mccurdy, Leslie",166.4555519,2
54,"Love, Alexander",166.92519,2
55,"al-Mohammed, Ishaaq",171.1884524,2
56,"Moline, Christina",174.8152791,2
57,"al-Sultan, Raabiya",180.2390874,2
58,"Charles, Malik",168.1332329,2
59,"Etsitty, Rocky",180.0295481,2
60,"Arellano-Diaz, Tania",166.2109573,2
61,"Bartlett, Hannah",175.2829423,2
62,"Tewahade, Shanae",184.7449554,2
63,"el-Malak, Zuhra",171.8261981,2
64,"O'Leary, Austin",168.6518321,2
65,"Rippy, Shay",171.9619762,2
66,"Miller, Shyanne",180.8854222,2
67,"Andersen, Iskra",166.3069613,2
68,"Nguyen, Daniel",178.8391359,2
69,"Mares, Alexandro",178.647824,2
70,"Lee, Cathy",173.682364,2
71,"el-Tabatabai, Daleel",172.0344642,2
72,"Price, Roxanne",169.7226563,2
73,"Guardipee, Julian",170.1673803,2
74,"Flihan, Nathan",175.2414328,2
75,"Tambunan, Ashley",182.3513543,2
76,"Myers, Stephanie",171.2330079,2
77,"Hunter, Clifford",165.0464953,2
78,"Upschulte, Jade",168.3820911,2
79,"al-Musa, Mutlaq",173.2913088,2
80,"Espinoza, Alexandra",170.4147044,2
81,"Bartels, Noah",171.1110502,2
82,"al-Arafat, Ahmed",171.1500296,2
83,"Musselman, Kaitlyn",165.1384906,2
84,"Valdez, Herman",171.1310641,2
85,"al-Tabatabai, Rayyana",176.2511613,2
86,"Nguyen, Joey",175.4880436,2
87,"Vandriel, Tiana",174.7499868,2
88,"al-Haider, Haajid",169.9863401,2
89,"Lindsay, Ashley",171.0420311,2
90,"Nguyen, Neil",166.0273606,2
91,"Newsom, Jazmin",171.7342059,2
92,"Rivas, Roberto",173.27598,2
93,"al-Saadeh, Afeef",180.52982,2
94,"Martin, Lasandra",177.0075663,2
95,"Allen, Kyle",169.5220828,2
96,"Ford Nunn, Taylor",173.7777515,2
97,"Montgomery, Nathan",166.3269598,2
98,"Yoo, Aimee",176.3910181,2
99,"al-Rahmani, Ikram",176.8645838,2
100,"Rahat, Hyo",182.6055855,2
101,"el-Ayoub, Ya'eesh",174.0726177,3
102,"Swain, Jazmine",169.6264076,3
103,"Israel, Lauren",172.3299675,3
104,"Irvin, Deleon",169.4876111,3
105,"Maraschin, Scott",167.8700071,3
106,"Lopez, Randall",172.8349464,3
107,"Vasquez, Jhoirhaz",167.5186769,3
108,"Gardella, Angela",172.8409269,3
109,"el-Niazi, Nabeeh",173.7748413,3
110,"el-Khalid, Haaniya",171.7394744,3
111,"Pratt, Ta'Haijanae",171.0203269,3
112,"al-Badour, Hadbaaa",168.7546512,3
113,"Samoy, Almiranda",166.4511638,3
114,"Pomrening, Luke",176.246371,3
115,"Brasee, Christian",172.1118126,3
116,"Zollars, Sammie",176.1557031,3
117,"Medina, Michael",165.7785607,3
118,"Grossetete-Alfaro, Jorge",172.8451321,3
119,"Dimas-Williams, Nijah",175.3658315,3
120,"el-Jabbar, Adeeb",171.8686181,3
121,"Leamons, Samantha",171.0430392,3
122,"Mcgowan, Kiyo",168.0904668,3
123,"Lomu, Tera",182.2908099,3
124,"el-Taheri, Hilmi",175.7525073,3
125,"Allen, Todd",181.1210415,3
126,"Cameron, Keysha",172.4002982,3
127,"el-Halim, Shuraih",168.8429535,3
128,"Harper, Curtis",164.4335594,3
129,"Holmes, Marciece",168.8195008,3
130,"Kayanja, Justus",173.1315077,3
131,"Sun, Karen",177.0684517,3
132,"Patterson, Benjamin",173.2637507,3
133,"Thrush, Kelly",166.1402584,3
134,"al-Radwan, Aqeela",175.3435716,3
135,"Wilkins, Lareesa",163.7494953,3
136,"Yang, Nicole",170.1707388,3
137,"Gambino, Jose",170.4194084,3
138,"Morgan, Nekeysha",162.2587698,3
139,"al-Yassin, Shakeela",176.6002876,3
140,"Angeles, Lexandra",168.885642,3
141,"el-Nawaz, Sakeen",170.3298168,3
142,"Kim, Ali",178.9757395,3
143,"Garland, Christian",175.1833721,3
144,"Hansen, Samuel",171.4578415,3
145,"el-Moradi, Nabeela",174.5688139,3
146,"Navarro Gurrola, Alex",173.996359,3
147,"Sanchez, Juan",180.3142822,3
148,"Johnson, Cicely",173.379467,3
149,"Smith, Franco",174.5313631,3
150,"Kell, Shaundra",173.7377599,3
151,"Kim, Danielle",170.1138118,4
